,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.29032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.23333,0.11475,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.21125,0.10315,0.00552,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.43885,0.33107,0.29353,0.2661,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.28452,0.21226,0.14567,0.13468,0.32765,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.24096,0.16966,0.09056,0.08333,0.29344,0.16105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.27273,0.20114,0.13151,0.12152,0.31801,0.19363,0.10662,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.18476,0.1229,0.04022,0.03641,0.23798,0.11383,0.02413,0.10098,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.23788,0.16862,0.09091,0.08377,0.28889,0.16015,0.11111,0.12559,0.04678,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.25843,0.17215,0.08261,0.07524,0.31929,0.16259,0.10623,0.14807,0.05363,0.10632,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.26667,0.1836,0.1,0.09151,0.32346,0.17463,0.12133,0.14894,0.07009,0.075,-0.01854,0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.29973,0.20032,0.11111,0.02074,0.35923,0.19097,0.13356,0.17612,0.05672,0.13313,0.13105,0.14805,0,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.21379,0.14756,0.06667,0.06119,0.26667,0.13871,0.08853,0.12585,0.04215,0.08889,0.08116,0.09693,0.10674,0,,,,,,,,,,,,,,,,,,,,,,,,
15,0.175,0.11406,0.03038,0.02712,0.2288,0.10488,0.0541,0.09196,0.00909,0.05489,0.04348,0.06026,0.06701,0.00589,0,,,,,,,,,,,,,,,,,,,,,,,
16,0.2,0.12614,0.03333,0.02958,0.26316,0.11608,0.05944,0.1016,0.00985,0.06024,0.04797,0.06667,0.07455,0.03597,0,0,,,,,,,,,,,,,,,,,,,,,,
17,0.18644,0.11979,0.0317,0.02823,0.24516,0.11016,0.05654,0.09647,0.00943,0.05734,0.04548,0.06315,0.07034,0.03433,0,0,0,,,,,,,,,,,,,,,,,,,,,
18,0.1965,0.13068,0.04591,0.04167,0.25241,0.1214,0.06944,0.10812,0.02287,0.07007,0.0599,0.07671,0.08491,0.04749,0.01358,0.01475,0.0141,0,,,,,,,,,,,,,,,,,,,,
19,0.22956,0.16744,0.09604,0.08906,0.27337,0.1597,0.11466,0.14816,0.07026,0.11461,0.11057,0.1242,0.13562,-0.01423,0.03001,0.06709,0.0641,0.06372,0,,,,,,,,,,,,,,,,,,,
20,0.21675,0.14414,0.05686,0.05174,0.27563,0.13465,0.08072,0.12082,0.032,0.08121,0.0719,0.08912,0.0988,0.0154,0.00959,0.02447,0.02332,0.03732,0.03767,0,,,,,,,,,,,,,,,,,,
21,0.23333,0.15523,0.06667,0.06072,0.29353,0.14567,0.09056,0.13151,0.04022,0.09091,0.08261,0.1,0.11111,0.06667,0.03038,0.03333,0.0317,0.04591,0.09604,0.05686,0,,,,,,,,,,,,,,,,,
22,0.29907,0.22052,0.15254,0.14042,0.34444,0.21325,0.16776,0.20133,0.1187,0.16667,0.17058,0.18269,0.20084,-0.00654,0.06733,0.12195,0.11532,0.12672,-0.0105,0.07374,0.15254,0,,,,,,,,,,,,,,,,
23,0.24127,0.16537,0.0814,0.07456,0.29798,0.15627,0.10353,0.14268,0.05418,0.10366,0.09744,0.11365,0.12574,-0.00591,0.01934,0.04901,0.04658,0.06014,0.00736,0.03191,0.0814,0.02216,0,,,,,,,,,,,,,,,
24,0.18801,0.13044,0.05475,0.0503,0.23364,0.12221,0.07579,0.11043,0.03257,0.07627,0.06791,0.0829,0.09113,0.00601,-0.00159,0.02579,0.02473,0.03739,0.02415,0.02334,0.05475,0.04392,-0.0034,0,,,,,,,,,,,,,,
25,0.175,0.11406,0.03038,0.02712,0.2288,0.10488,0.0541,0.09196,0.00909,0.05489,0.04348,0.06026,0.06701,0.03297,0,0,0,0.01358,0.0615,0.02239,0.03038,0.10952,0.04458,0.02384,0,,,,,,,,,,,,,
26,0.19813,0.13682,0.0581,0.05332,0.24784,0.12821,0.07973,0.11584,0.03502,0.08019,0.07181,0.08728,0.09602,-0.01121,0.00516,0.02831,0.02709,0.04003,-0.00598,0.01719,0.0581,0.02157,-0.01763,-0.02137,0.02607,0,,,,,,,,,,,,
27,0.21053,0.13088,0.03465,0.03065,0.27632,0.12054,0.06172,0.1055,0.01018,0.0625,0.05,0.06948,0.07801,0.01743,0,0,0,0.01528,0.058,0.02539,0.03465,0.12698,0.05094,0.02662,0,0.02927,0,,,,,,,,,,,
28,0.17808,0.11565,0.03073,0.02742,0.23333,0.10634,0.05476,0.0932,0.00918,0.05556,0.04401,0.06103,0.06788,0.00344,-0.00917,0,0,0.01372,0.0274,0.00853,0.03073,0.06433,0.00268,-0.00979,0,-0.01273,0,0,,,,,,,,,,
29,0.18182,0.11753,0.03116,0.02778,0.2387,0.10806,0.05556,0.09467,0.00929,0.05636,0.04466,0.06197,0.06897,0.0229,0,0,0,0.01389,0.06306,0.02294,0.03116,0.11301,0.04576,0.02437,0,0.02667,-0.02273,-0.01124,0,,,,,,,,,
30,0.18006,0.12278,0.04559,0.04162,0.22691,0.11438,0.06727,0.10243,0.02401,0.06785,0.05854,0.07392,0.08153,-0.01858,-0.00086,0.01647,0.00847,0.02865,0.00833,0.01279,0.04559,0.03579,0.00937,0.00845,0.01524,-0.00534,-0.00685,-0.00236,-0.0042,0,,,,,,,,
31,0.19231,0.12258,0.0324,0.02881,0.25311,0.11275,0.05779,0.09871,0.00961,0.0586,0.04654,0.06466,0.07212,-0.02377,-0.01316,0,0,-0.01798,0.00562,0.00347,0.0324,0.04911,0.00709,0.00119,0,-0.00577,0,-0.01449,0,-0.0095,0,,,,,,,
32,0.22383,0.15282,0.06918,0.06335,0.27974,0.1437,0.09166,0.13033,0.04368,0.09198,0.08432,0.10061,0.11111,-0.0065,0.00034,0.03749,0.03571,0.04922,0.00873,0.02495,0.06918,0.02747,0.01256,0.00222,0.03425,0.00334,0.0389,-0.00283,0.02156,0.00504,0.00071,0,,,,,,
33,0.18182,0.11753,0.03116,0.02778,0.2387,0.10806,0.05556,0.09467,0.00929,0.05636,0.04466,0.06197,0.06897,0.00041,-0.0102,0,0,0.01389,0.01735,0.00722,0.03116,0.06054,0.01464,0.00583,0,-0.00793,0,-0.01124,0,-0.01097,-0.01613,0.0076,0,,,,,
34,0.29054,0.20685,0.1307,0.11984,0.34217,0.1987,0.1488,0.18569,0.09793,0.14807,0.14901,0.16295,0.18045,-0.01975,0.05208,0.09832,0.0929,0.10543,-0.00046,0.06159,0.1307,-0.00921,0.02326,0.04191,0.08834,0.01864,0.07581,0.04942,0.07655,0.01113,0.03623,0.02529,0.0461,0,,,,
35,0.2053,0.14236,0.06331,0.05817,0.2558,0.13371,0.08484,0.12121,0.0396,0.08524,0.07733,0.09278,0.10204,-0.03091,0.00801,0.03327,0.03181,0.03582,0.00178,0.01953,0.06331,0.01701,0.00579,0.01177,0.03058,-0.00189,0.00077,0.006,0.01296,-0.02572,-0.00366,0.00349,0.00352,-0.01075,0,,,
36,0.17432,0.11706,0.03856,0.03495,0.22233,0.1085,0.06077,0.0964,0.0174,0.06143,0.05137,0.06709,0.07421,0.02224,0.00292,0.00927,0.00108,0.02191,0.04638,0.02199,0.03856,0.08499,0.03494,0.02113,0.00859,0.01954,0.00957,0.00243,-0.00522,0.00848,0.00011,0.02683,0.00183,0.06925,0.02283,0,,
37,0.2,0.12614,0.03333,0.02958,0.26316,0.11608,0.05944,0.1016,0.00985,0.06024,0.04797,0.06667,0.07455,0.03597,-0.01538,0,0,0.01475,0.06709,0.02447,0.03333,0.12195,0.04901,0.02579,0,0.02831,0,0,0,0.01647,0,0.03749,0,0.09832,0.03327,0.00927,0,
38,0.25843,0.17215,0.08261,0.07524,0.31929,0.16259,0.10623,0.14807,0.05363,0.10632,0.1,0.11743,0.13105,0.0228,0.02604,0.04797,0.04548,0.0599,0.04273,0.04471,0.08261,0.07666,0.04276,0.03619,0.04348,0.02732,0.05,0.02477,0.04466,0.02466,0.01869,0.03626,0.0232,0.06868,0.02911,0.03958,0.04797,0
